,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-10-06 04:51:36,-54.8,-68.3,38.86,87,40,10.36
1,Cherskiy,RU,2022-10-06 04:51:36,68.75,161.3,29.75,94,100,20.78
2,Verrettes,HT,2022-10-06 04:51:36,19.05,-72.4667,76.59,90,47,3.6
3,Rikitea,PF,2022-10-06 04:47:58,-23.1203,-134.9692,69.67,61,71,20.24
4,Albany,US,2022-10-06 04:49:27,42.6001,-73.9662,48.92,94,5,3.96
5,Hermanus,ZA,2022-10-06 04:51:37,-34.4187,19.2345,51.8,80,41,13.06
6,Puerto Escondido,MX,2022-10-06 04:51:37,15.85,-97.0667,78.6,82,20,5.48
7,Adrar,MR,2022-10-06 04:51:37,20.5022,-10.0711,83.57,15,3,11.18
8,Cayenne,GF,2022-10-06 04:50:27,4.9333,-52.3333,73.44,100,0,0.0
9,Mahebourg,MU,2022-10-06 04:51:38,-20.4081,57.7,76.24,69,40,12.66
10,Artyom,AZ,2022-10-06 04:51:38,40.4723,50.333,71.74,80,58,25.39
11,Mataura,NZ,2022-10-06 04:51:38,-46.1927,168.8643,45.48,79,78,8.05
12,Bilma,NE,2022-10-06 04:51:39,18.6853,12.9164,82.2,28,62,14.54
13,Tezu,IN,2022-10-06 04:51:39,27.9167,96.1667,74.75,97,100,1.14
14,Mount Isa,AU,2022-10-06 04:51:39,-20.7333,139.5,91.17,31,75,4.61
15,Mareeba,AU,2022-10-06 04:51:40,-17.0,145.4333,84.43,67,82,8.93
16,Qaanaaq,GL,2022-10-06 04:51:40,77.484,-69.3632,4.32,72,33,7.29
17,Carnarvon,AU,2022-10-06 04:49:59,-24.8667,113.6333,73.47,31,0,21.85
18,Shingu,JP,2022-10-06 04:51:40,33.7333,135.9833,61.93,92,100,4.52
19,Aklavik,CA,2022-10-06 04:51:41,68.2191,-135.0107,33.78,88,64,8.46
20,Kapaa,US,2022-10-06 04:47:49,22.0752,-159.319,80.58,77,20,12.66
21,Busselton,AU,2022-10-06 04:51:41,-33.65,115.3333,57.34,68,94,14.18
22,Kodiak,US,2022-10-06 04:51:41,57.79,-152.4072,53.11,82,100,8.05
23,Terrace,CA,2022-10-06 04:51:40,54.5163,-128.6035,57.11,94,100,0.0
24,Kutum,SD,2022-10-06 04:48:28,14.2,24.6667,76.37,30,57,5.88
25,Ayan,RU,2022-10-06 04:48:31,56.45,138.1667,38.46,45,77,17.13
26,Punta Arenas,CL,2022-10-06 04:47:24,-53.15,-70.9167,39.31,81,0,9.22
27,Barrow,US,2022-10-06 04:51:42,71.2906,-156.7887,33.82,86,40,12.66
28,Hobart,AU,2022-10-06 04:51:42,-42.8794,147.3294,56.26,78,75,17.27
29,Bambanglipuro,ID,2022-10-06 04:51:43,-7.95,110.2833,81.46,72,99,13.56
30,Lavrentiya,RU,2022-10-06 04:51:44,65.5833,-171.0,40.66,95,100,35.86
31,Jamestown,US,2022-10-06 04:51:44,42.097,-79.2353,53.24,67,0,1.01
32,Ancud,CL,2022-10-06 04:48:40,-41.8697,-73.8203,45.45,82,54,7.11
33,Bontang,ID,2022-10-06 04:51:44,0.1333,117.5,81.9,74,100,1.41
34,Xingyi,CN,2022-10-06 04:51:45,24.1877,102.817,73.45,58,44,6.82
35,Arraial Do Cabo,BR,2022-10-06 04:51:45,-22.9661,-42.0278,68.92,85,100,10.47
36,Vaini,TO,2022-10-06 04:51:45,-21.2,-175.2,80.76,89,75,3.44
37,Mahibadhoo,MV,2022-10-06 04:51:46,3.7833,72.9667,81.12,78,100,17.05
38,Yellowknife,CA,2022-10-06 04:51:46,62.456,-114.3525,41.56,81,20,17.27
39,Salalah,OM,2022-10-06 04:51:46,17.0151,54.0924,80.96,72,97,6.98
40,Marzuq,YE,2022-10-06 04:51:47,14.4,46.4667,79.36,31,43,4.97
41,Bethel,US,2022-10-06 04:51:47,41.3712,-73.414,59.94,86,40,1.99
42,Moree,AU,2022-10-06 04:51:47,-29.4667,149.85,70.3,60,95,12.64
43,Atuona,PF,2022-10-06 04:51:48,-9.8,-139.0333,77.07,78,16,21.0
44,Bredasdorp,ZA,2022-10-06 04:51:48,-34.5322,20.0403,50.43,83,26,7.16
45,Kaeo,NZ,2022-10-06 04:51:48,-35.1,173.7833,57.33,58,27,13.29
46,Codrington,AU,2022-10-06 04:51:49,-38.2667,141.9667,64.08,83,96,13.04
47,Tocopilla,CL,2022-10-06 04:52:49,-22.092,-70.1979,60.57,66,0,6.33
48,Kavieng,PG,2022-10-06 04:52:50,-2.5744,150.7967,84.52,72,78,11.74
49,Grand-Santi,GF,2022-10-06 04:52:50,4.25,-54.3833,72.32,90,47,2.84
50,Samfya,ZM,2022-10-06 04:52:50,-11.3649,29.5565,69.93,43,43,12.17
51,Seddon,AU,2022-10-06 04:52:51,-37.8068,144.8916,71.15,70,100,26.46
52,Ostrovnoy,RU,2022-10-06 04:52:52,68.0531,39.5131,45.48,83,76,20.56
53,Shymkent,KZ,2022-10-06 04:52:52,42.3,69.6,61.39,23,0,4.47
54,Smolenka,RU,2022-10-06 04:52:53,52.1352,113.4974,33.87,37,40,4.47
55,Port Lincoln,AU,2022-10-06 04:52:53,-34.7333,135.8667,67.55,61,39,12.75
56,Lorengau,PG,2022-10-06 04:52:53,-2.0226,147.2712,85.57,69,48,11.81
57,Tiznit,MA,2022-10-06 04:52:54,29.5833,-9.5,69.42,53,84,1.12
58,Eldama Ravine,KE,2022-10-06 04:52:54,0.0516,35.7308,59.47,75,54,3.24
59,Aberystwyth,GB,2022-10-06 04:52:54,52.4155,-4.0829,56.71,81,3,19.06
60,Guerrero Negro,MX,2022-10-06 04:52:55,27.9769,-114.0611,69.6,83,0,12.5
61,Umm Lajj,SA,2022-10-06 04:52:55,25.0213,37.2685,87.6,40,0,7.9
62,Palanga,LT,2022-10-06 04:52:55,55.9175,21.0686,57.22,94,100,10.36
63,Marystown,CA,2022-10-06 04:52:56,47.1666,-55.1483,49.55,77,100,3.29
64,Hasaki,JP,2022-10-06 04:52:56,35.7333,140.8333,55.8,84,100,26.53
65,Dutse,NG,2022-10-06 04:52:56,11.7594,9.3392,77.04,59,88,4.43
66,Hithadhoo,MV,2022-10-06 04:52:57,-0.6,73.0833,82.53,74,62,19.6
67,Huarmey,PE,2022-10-06 04:52:57,-10.0681,-78.1522,60.67,85,54,9.08
68,Honningsvag,NO,2022-10-06 04:52:57,70.9821,25.9704,42.55,81,75,13.8
69,Tupelo,US,2022-10-06 04:52:58,34.2576,-88.7034,57.49,59,0,0.0
70,Airai,TL,2022-10-06 04:52:58,-8.9266,125.4092,75.27,53,98,2.98
71,Thompson,CA,2022-10-06 04:52:58,55.7435,-97.8558,28.56,80,100,8.05
72,Lagoa,PT,2022-10-06 04:52:59,39.05,-27.9833,68.65,87,99,13.6
73,Caravelas,BR,2022-10-06 04:53:00,-17.7125,-39.2481,72.55,92,52,5.77
74,Cockburn Town,TC,2022-10-06 04:53:00,21.4612,-71.1419,82.9,75,86,12.48
75,Upernavik,GL,2022-10-06 04:53:01,72.7868,-56.1549,18.54,88,95,6.04
76,Chizhou,CN,2022-10-06 04:53:01,30.6578,117.4831,55.35,92,100,8.3
77,Newport,GB,2022-10-06 04:52:56,51.5877,-2.9984,57.74,82,1,9.15
78,Zhigansk,RU,2022-10-06 04:53:02,66.7697,123.3711,26.13,72,89,27.6
79,Nikolskoye,RU,2022-10-06 04:53:02,59.7035,30.7861,51.8,96,100,9.4
80,Wuwei,CN,2022-10-06 04:53:03,37.9281,102.6414,56.55,33,65,7.02
81,Lamar,US,2022-10-06 04:53:04,33.6668,-95.5836,69.37,49,0,0.0
82,Aykhal,RU,2022-10-06 04:53:04,66.0,111.5,20.14,90,89,10.2
83,Chokurdakh,RU,2022-10-06 04:53:05,70.6333,147.9167,21.16,93,97,10.47
84,Plettenberg Bay,ZA,2022-10-06 04:53:05,-34.0527,23.3716,55.35,78,41,7.14
85,San Andres,CO,2022-10-06 04:54:05,12.5847,-81.7006,84.22,79,75,5.75
86,Verkh-Usugli,RU,2022-10-06 04:54:06,52.7,115.1667,38.97,29,10,4.12
87,Saint-Joseph,RE,2022-10-06 04:52:20,-21.3667,55.6167,77.47,65,14,12.1
88,Ribeira Grande,PT,2022-10-06 04:54:06,38.5167,-28.7,71.58,83,97,7.31
89,Zamora,EC,2022-10-06 04:53:55,-4.0692,-78.9567,67.46,98,82,3.29
90,Dongobesh,TZ,2022-10-06 04:54:07,-4.0667,35.3833,57.72,76,100,7.81
91,Alice Springs,AU,2022-10-06 04:50:11,-23.7,133.8833,94.55,40,40,17.27
92,Tabou,CI,2022-10-06 04:54:08,4.423,-7.3528,74.75,91,100,1.36
93,Chernogorsk,RU,2022-10-06 04:54:08,53.8236,91.2842,42.37,70,0,2.24
94,Kimbe,PG,2022-10-06 04:54:09,-5.5502,150.1429,83.97,77,89,2.48
95,Gebre Guracha,ET,2022-10-06 04:54:09,9.8,38.4,54.55,73,31,3.22
96,Saldanha,ZA,2022-10-06 04:54:09,-33.0117,17.9442,46.45,79,100,3.09
97,Tiksi,RU,2022-10-06 04:49:54,71.6872,128.8694,24.58,87,100,15.66
98,Hilo,US,2022-10-06 04:54:10,19.7297,-155.09,79.29,88,100,1.99
99,Bluff,NZ,2022-10-06 04:54:10,-46.6,168.3333,45.81,55,95,20.47
100,Bowen,AU,2022-10-06 04:54:10,-20.0167,148.2333,78.3,67,13,17.98
101,Riberalta,BO,2022-10-06 04:54:11,-10.9833,-66.1,76.17,68,8,2.59
102,Portland,US,2022-10-06 04:52:27,45.5234,-122.6762,62.94,88,20,1.99
103,Gizo,SB,2022-10-06 04:54:11,-8.103,156.8419,85.35,58,89,7.61
104,Gladstone,AU,2022-10-06 04:54:11,-23.85,151.25,75.13,60,100,12.66
105,Castro,BR,2022-10-06 04:54:12,-24.7911,-50.0119,57.85,98,100,6.98
106,Georgetown,MY,2022-10-06 04:54:12,5.4112,100.3354,85.98,74,20,5.75
107,Provideniya,RU,2022-10-06 04:54:12,64.3833,-173.3,42.15,85,100,30.09
108,Saint George,US,2022-10-06 04:54:13,37.1041,-113.5841,79.39,25,0,9.22
109,Narsaq,GL,2022-10-06 04:54:13,60.9167,-46.05,28.78,92,44,5.59
110,Mount Gambier,AU,2022-10-06 04:54:13,-37.8333,140.7667,60.71,94,75,4.61
111,Bratsk,RU,2022-10-06 04:54:14,56.1325,101.6142,34.29,71,99,11.34
112,Victoria,HK,2022-10-06 04:52:31,22.2855,114.1577,91.45,73,36,7.0
113,Souillac,MU,2022-10-06 04:54:14,-20.5167,57.5167,75.58,69,40,12.66
114,Puerto Ayora,EC,2022-10-06 04:54:15,-0.7393,-90.3518,66.54,95,60,4.0
115,Ballina,AU,2022-10-06 04:54:15,-28.8667,153.5667,61.86,88,100,2.04
116,Lata,PT,2022-10-06 04:54:15,40.1629,-8.3327,55.08,68,47,3.42
